x0,x1,x2,x3,x4,x5,x6,x7,y
5,6.0,29.0,A6,A14,A0,1065.0,1141.0,-31.0
5,8.0,22.0,A4,,A30,1200.0,,
5,11.0,11.0,A2,A48,A0,904.0,959.0,-7.0
5,5.0,23.0,A13,A86,A18,615.0,715.0,11.0
5,5.0,18.0,A3,A87,A44,1023.0,1100.0,107.0
5,3.0,25.0,A13,A88,A79,785.0,935.0,1.0
5,3.0,20.0,A3,A89,A44,834.0,894.0,-4.0
5,6.0,25.0,A12,A34,A19,1213.0,1375.0,38.0
5,11.0,12.0,A6,,A46,660.0,835.0,6.0
5,11.0,3.0,A0,A45,A91,1100.0,1365.0,-14.0
5,11.0,30.0,A0,A45,A57,1045.0,1195.0,13.0
5,12.0,28.0,A3,A14,A80,505.0,575.0,141.0
5,5.0,17.0,A0,A54,A92,1110.0,1280.0,137.0
5,8.0,19.0,A3,A14,A93,769.0,849.0,5.0
5,4.0,16.0,A0,A90,A30,925.0,970.0,-9.0
5,7.0,8.0,A3,A91,A29,360.0,410.0,-4.0
5,10.0,9.0,A13,A92,A3,525.0,,-28.0
5,2.0,27.0,A12,A83,A21,957.0,1079.0,-8.0
5,11.0,23.0,A6,A81,A16,1105.0,,-19.0
5,10.0,21.0,A4,,A89,1229.0,1296.0,-12.0
5,8.0,12.0,A2,A52,A29,825.0,952.0,45.0
5,5.0,25.0,A3,A94,A16,790.0,888.0,-7.0
5,9.0,19.0,A12,A13,A14,1270.0,1426.0,-12.0
5,7.0,10.0,A0,A45,A41,1295.0,1345.0,12.0
5,3.0,2.0,A4,A13,A94,455.0,523.0,0.0
5,4.0,3.0,A0,A16,A36,955.0,1090.0,10.0
5,6.0,17.0,A10,A30,A0,410.0,485.0,25.0
5,1.0,3.0,A8,A19,A15,1175.0,1314.0,69.0
5,1.0,28.0,A0,A95,A30,1125.0,1220.0,6.0
5,5.0,30.0,A12,,A44,756.0,898.0,-6.0
5,12.0,29.0,A4,A12,A95,905.0,1004.0,-12.0
5,11.0,24.0,A6,A7,A28,1245.0,301.0,5.0
5,3.0,7.0,A0,A82,A11,950.0,1025.0,-12.0
5,11.0,16.0,A6,A12,A16,300.0,406.0,-9.0
5,6.0,24.0,A2,,A29,495.0,590.0,-10.0
5,4.0,9.0,A1,A23,A55,710.0,959.0,-22.0
5,10.0,13.0,A0,A39,A96,1155.0,1340.0,12.0
5,5.0,6.0,A4,A30,A97,1355.0,,-5.0
5,2.0,13.0,A6,A97,A16,481.0,590.0,-5.0
5,9.0,7.0,A8,A4,A56,825.0,985.0,0.0
5,3.0,9.0,A2,A9,A39,1160.0,1270.0,-10.0
5,3.0,12.0,A2,A54,A46,505.0,672.0,-12.0
5,5.0,17.0,A0,A28,A98,1155.0,,
5,7.0,9.0,A6,A54,A18,620.0,724.0,-4.0
5,11.0,19.0,A11,A31,A99,810.0,849.0,2.0
5,1.0,2.0,A2,A9,A100,512.0,604.0,-12.0
5,2.0,8.0,A5,A76,A28,770.0,891.0,-25.0
5,1.0,25.0,A3,A76,A46,965.0,1082.0,-33.0
5,4.0,19.0,A0,A28,A41,1270.0,1335.0,-12.0
5,10.0,7.0,A2,,A34,1115.0,1322.0,-27.0
5,8.0,21.0,A2,A24,A74,525.0,619.0,-9.0
5,10.0,2.0,A1,A98,A101,465.0,652.0,-9.0
5,7.0,26.0,A3,A99,A19,493.0,,-11.0
5,9.0,8.0,A6,A86,A9,845.0,1018.0,-21.0
5,3.0,15.0,A0,A66,A15,745.0,810.0,-7.0
5,7.0,8.0,A12,A100,A16,687.0,772.0,-7.0
5,6.0,10.0,A5,A101,A16,1105.0,1190.0,0.0
5,1.0,15.0,A0,A9,A46,630.0,760.0,7.0
5,12.0,9.0,A3,A62,A44,395.0,485.0,14.0
5,7.0,29.0,A3,A13,A25,1263.0,1320.0,-5.0
5,6.0,9.0,A7,,A55,1050.0,1145.0,-2.0
5,9.0,13.0,A4,,A23,1026.0,1108.0,-19.0
5,3.0,27.0,A0,A9,A98,810.0,855.0,29.0
5,12.0,12.0,A0,A66,A14,885.0,1315.0,-23.0
5,6.0,20.0,A4,A103,A23,1109.0,1269.0,-13.0
5,12.0,16.0,A1,A10,A39,795.0,891.0,-21.0
5,12.0,22.0,A4,A48,A102,690.0,758.0,35.0
5,9.0,10.0,A12,,A0,840.0,929.0,-16.0
5,2.0,24.0,A12,A88,A41,1176.0,1284.0,76.0
5,7.0,13.0,A2,A104,A52,1001.0,1128.0,-18.0
5,2.0,8.0,A0,A58,A103,1065.0,1220.0,15.0
5,3.0,9.0,A9,,A41,700.0,754.0,-20.0
5,5.0,26.0,A0,A82,A26,1265.0,1340.0,-7.0
5,3.0,29.0,A11,A69,A104,1007.0,1044.0,-5.0
5,5.0,21.0,A0,A0,A80,1165.0,1290.0,8.0
5,7.0,15.0,A4,A97,A8,999.0,1119.0,42.0
5,1.0,15.0,A12,A6,A10,810.0,1077.0,-5.0
5,4.0,27.0,A12,A34,A55,414.0,485.0,-20.0
5,10.0,6.0,A6,A105,A105,580.0,671.0,21.0
5,10.0,16.0,A9,A106,A106,505.0,589.0,29.0
