Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 90211,8434,7957,6551,204,13,1029,93,170,105,76,504,26,55,1,0,1,0,0,159,477
ZCTA5 90212,11555,10989,9354,308,23,1156,71,214,121,110,558,9,73,4,2,1,1,0,144,566
ZCTA5 90220,49328,47634,11333,19621,366,276,18,17,128,30,10,27,46,435,4,10,376,45,15603,1694
ZCTA5 90221,53704,51794,15694,12029,396,148,23,23,54,11,10,9,18,393,7,4,335,47,23134,1910
ZCTA5 90222,31869,30933,9260,9727,203,90,4,3,49,9,5,5,15,62,7,4,38,13,11591,936
ZCTA5 90230,31766,29960,17175,3299,191,4661,579,804,742,1383,497,187,469,88,11,7,3,67,4546,1806
ZCTA5 90232,15149,14185,9201,981,71,2294,436,368,380,442,221,58,389,40,9,3,2,26,1598,964
ZCTA5 90240,25876,24902,15311,659,178,2240,166,179,541,86,922,100,246,51,3,9,35,4,6463,974
ZCTA5 90241,42399,40697,24320,1357,307,2820,207,232,793,133,1056,118,281,75,16,8,32,19,11818,1702
ZCTA5 90242,43497,41627,23624,2313,335,2744,284,175,1136,103,530,149,367,95,27,16,16,36,12516,1870
ZCTA5 90245,16654,15697,12997,337,68,1458,275,304,255,229,96,53,246,38,21,5,4,8,799,957
ZCTA5 90247,47487,45330,12027,8935,273,11940,138,757,1918,4779,2864,748,736,359,88,27,180,64,11796,2157
ZCTA5 90248,9947,9469,2801,1500,58,3095,22,156,482,1593,527,145,170,79,24,15,34,6,1936,478
ZCTA5 90249,26669,25478,7866,8082,161,4417,101,384,852,942,466,1299,373,122,36,13,46,27,4830,1191
ZCTA5 90250,93193,88731,33074,23705,616,6568,557,466,2593,385,313,1408,846,1117,55,40,172,850,23651,4462
ZCTA5 90254,19506,18688,16928,229,49,1111,102,314,173,229,122,77,94,46,27,5,4,10,325,818
ZCTA5 90255,75066,72293,39323,512,1058,483,45,54,247,14,21,48,54,30,12,5,7,6,30887,2773
ZCTA5 90260,34924,32947,15696,3205,309,3925,205,313,903,204,194,1637,469,351,26,16,121,188,9461,1977
ZCTA5 90262,69745,67368,27425,7141,464,453,91,31,116,12,44,18,141,209,6,10,174,19,31676,2377
ZCTA5 90263,1612,1509,1125,98,4,219,15,65,20,17,83,2,17,4,2,1,0,1,59,103
ZCTA5 90265,18116,17532,16145,322,34,641,68,210,98,90,92,36,47,19,14,0,2,3,371,584
ZCTA5 90266,35135,33516,29686,290,59,3023,307,886,244,665,450,168,303,49,24,3,7,15,409,1619
ZCTA5 90270,27372,26206,14234,162,208,87,2,4,41,2,9,1,28,20,5,1,11,3,11495,1166
ZCTA5 90272,22986,22295,20682,173,31,1228,138,407,106,188,255,26,108,9,1,3,3,2,172,691
ZCTA5 90274,25209,24234,18527,347,46,5019,425,1537,339,1155,1170,93,300,20,1,8,4,7,275,975
ZCTA5 90275,41804,39815,25803,1016,80,12126,784,3605,922,2926,2844,184,861,41,11,3,6,21,749,1989
