Zip,Total Population,Total Population of One Race,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,Total Population of Two or More Races
ZCTA5 92322,1257,1174,1099,4,12,13,1,0,4,3,2,1,2,2,2,0,0,0,44,83
ZCTA5 92324,56505,53649,25134,5186,740,2749,265,211,1001,81,156,316,719,177,29,25,67,56,19663,2856
ZCTA5 92325,9391,8893,8097,103,120,82,6,8,34,15,10,5,4,18,5,6,5,2,473,498
ZCTA5 92327,632,609,475,8,55,3,0,1,0,1,1,0,0,4,0,0,4,0,64,23
ZCTA5 92328,445,439,402,7,16,2,0,0,2,0,0,0,0,4,4,0,0,0,8,6
ZCTA5 92332,65,63,42,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
ZCTA5 92333,472,463,452,0,0,5,0,0,0,3,0,1,1,3,1,1,1,0,3,9
ZCTA5 92335,95397,91100,46362,4567,1141,1539,159,153,516,44,62,215,390,335,29,24,131,151,37156,4297
ZCTA5 92336,88419,83847,40973,11702,789,9388,781,1163,4460,183,937,708,1156,211,53,22,41,95,20784,4572
ZCTA5 92337,37849,36089,18172,4017,312,2507,389,199,1225,56,41,297,300,66,8,16,26,16,11015,1760
ZCTA5 92338,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ZCTA5 92339,885,825,774,5,8,12,0,3,4,0,5,0,0,0,0,0,0,0,26,60
ZCTA5 92341,410,398,383,0,2,4,0,0,2,2,0,0,0,0,0,0,0,0,9,12
ZCTA5 92342,6379,6126,5078,342,52,213,2,21,53,27,88,9,13,16,5,4,0,7,425,253
ZCTA5 92344,20769,19819,12923,1415,223,833,107,88,216,25,162,159,76,69,20,6,10,33,4356,950
ZCTA5 92345,78715,74919,49341,4084,1006,1286,127,75,447,127,145,172,193,232,64,35,86,47,18970,3796
ZCTA5 92346,54923,51952,31277,6458,585,4081,343,338,1173,147,245,1107,728,185,41,28,66,50,9366,2971
ZCTA5 92347,1692,1627,1158,49,24,15,0,0,6,4,1,2,2,1,0,0,1,0,380,65
ZCTA5 92352,8004,7714,6995,65,49,102,13,26,16,19,5,9,14,16,4,10,1,1,487,290
ZCTA5 92354,21559,20427,9975,1822,83,6501,726,694,2246,150,775,261,1649,150,19,16,89,26,1896,1132
ZCTA5 92356,6455,6169,4986,199,121,109,4,17,16,6,52,13,1,6,0,0,6,0,748,286
ZCTA5 92358,707,673,610,6,7,23,2,4,0,0,17,0,0,0,0,0,0,0,27,34
ZCTA5 92359,8103,7710,5734,382,116,305,22,34,85,18,24,13,109,26,13,3,8,2,1147,393
ZCTA5 92363,5321,4977,3876,100,602,38,8,9,6,0,11,2,2,9,4,1,0,4,352,344
ZCTA5 92364,90,86,68,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,12,4
ZCTA5 92365,2637,2518,2057,78,28,36,0,11,10,7,1,0,7,19,7,3,9,0,300,119
ZCTA5 92368,1113,1054,728,24,35,15,1,1,4,8,1,0,0,0,0,0,0,0,252,59
ZCTA5 92371,16763,16016,12514,312,161,568,29,24,32,25,424,6,28,43,6,18,12,7,2418,747
ZCTA5 92372,6220,5936,5143,54,51,173,5,17,20,8,115,2,6,2,1,0,0,1,513,284
ZCTA5 92373,33423,31863,24894,1431,240,2951,607,540,600,132,393,146,533,74,28,12,14,20,2273,1560
ZCTA5 92374,40267,38169,25506,2530,411,2995,376,345,810,121,233,334,776,177,34,9,93,41,6550,2098
ZCTA5 92376,81516,77740,35328,12609,891,1601,88,137,582,65,51,178,500,302,67,20,116,99,27009,3776
ZCTA5 92377,19989,18988,9041,4235,196,652,48,63,233,36,55,46,171,104,10,9,41,44,4760,1001
ZCTA5 92378,183,177,144,2,4,4,0,2,0,0,2,0,0,1,1,0,0,0,22,6
ZCTA5 92382,5268,4965,4666,29,50,58,2,2,23,14,14,2,1,8,7,1,0,0,154,303
ZCTA5 92384,36,35,32,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ZCTA5 92385,313,305,274,9,1,5,2,1,0,1,0,1,0,4,4,0,0,0,12,8
ZCTA5 92386,2270,2139,1934,11,58,18,1,3,7,2,1,1,3,5,0,2,3,0,113,131
ZCTA5 92389,156,137,125,1,8,2,0,1,0,0,0,0,1,0,0,0,0,0,1,19
ZCTA5 92391,2534,2413,2114,17,37,29,0,7,9,1,5,0,7,4,2,1,1,0,212,121
ZCTA5 92392,54858,51594,28732,7762,600,2306,192,181,968,110,240,278,337,243,47,59,85,52,11951,3264
ZCTA5 92394,33237,31102,14704,7159,658,1412,110,137,566,59,214,145,181,159,36,57,22,44,7010,2135
ZCTA5 92395,42400,39683,23285,5320,546,1460,230,156,537,95,128,122,192,138,19,56,44,19,8934,2717
ZCTA5 92397,4894,4710,4431,42,31,61,1,10,27,3,12,0,8,7,4,0,0,3,138,184
ZCTA5 92398,1379,1313,1039,38,29,30,4,11,2,0,12,0,1,2,0,0,2,0,175,66
ZCTA5 92399,52606,50452,41907,912,510,1450,175,203,462,65,223,108,214,75,34,7,19,15,5598,2154
ZCTA5 92401,1932,1831,687,431,39,47,5,6,9,4,11,4,8,2,0,0,1,1,625,101
ZCTA5 92404,58271,55096,27430,9126,809,1529,92,115,392,113,62,411,344,223,24,22,116,61,15979,3175
ZCTA5 92405,28873,27336,13269,3813,484,387,41,42,119,39,16,40,90,97,15,16,42,24,9286,1537
ZCTA5 92407,56689,53604,27906,7472,639,2360,186,390,648,75,196,260,605,145,24,33,38,50,15082,3085
ZCTA5 92408,15271,14512,5699,2000,251,2304,73,52,800,19,110,290,960,70,6,33,19,12,4188,759
ZCTA5 92410,49410,47067,21276,6316,558,1398,115,78,277,27,30,436,435,188,20,26,104,38,17331,2343
ZCTA5 92411,26214,25160,10102,4626,383,580,51,15,75,19,6,129,285,168,6,8,110,44,9301,1054
ZCTA5 92501,20970,19872,11604,2028,278,932,40,152,368,39,79,110,144,99,10,17,46,26,4931,1098
ZCTA5 92503,84519,80593,46286,4167,1044,5303,446,448,1751,206,510,1210,732,361,61,73,97,130,23432,3926
ZCTA5 92504,53778,50946,33679,3239,620,1979,169,235,478,109,261,390,337,190,16,67,50,57,11239,2832
ZCTA5 92505,47672,45332,25595,2813,594,3358,372,292,1137,100,350,666,441,285,41,29,121,94,12687,2340
ZCTA5 92506,44001,41953,32394,2446,416,2035,290,381,471,151,355,154,233,110,17,22,24,47,4552,2048
ZCTA5 92507,58002,54986,25657,6055,555,8853,974,3268,1151,367,1321,761,1011,213,19,23,131,40,13653,3016
ZCTA5 92508,35000,33014,21644,3070,207,3889,484,580,1092,130,818,383,402,101,13,18,21,49,4103,1986
ZCTA5 92509,75196,71796,39329,2827,790,1908,252,179,675,105,154,220,323,231,41,22,74,94,26711,3400
ZCTA5 92518,1162,1125,814,171,10,35,4,2,13,12,3,0,1,2,1,0,1,0,93,37
ZCTA5 92530,50216,47274,30857,2005,553,1304,50,114,499,83,98,171,289,164,46,29,65,24,12391,2942
ZCTA5 92532,18644,17553,11530,1197,125,2020,114,183,904,56,197,300,266,51,9,2,15,25,2630,1091
ZCTA5 92536,3810,3655,3235,35,61,55,0,2,19,5,26,0,3,9,1,0,4,4,260,155
ZCTA5 92539,4734,4554,3692,47,239,47,4,8,12,12,4,2,5,5,4,0,1,0,524,180
ZCTA5 92543,33555,31811,21703,2089,544,573,31,67,276,45,17,35,102,114,36,28,23,27,6788,1744
ZCTA5 92544,44734,42632,33317,1756,814,827,169,117,270,48,34,18,171,95,32,10,29,24,5823,2102
ZCTA5 92545,39457,37397,27674,2458,536,1637,130,128,900,81,57,140,201,153,34,33,52,34,4939,2060
ZCTA5 92548,6643,6337,4225,137,93,52,1,9,16,12,3,4,7,26,1,5,8,12,1804,306
ZCTA5 92549,3926,3777,3481,32,30,135,1,55,2,16,53,1,7,6,3,1,1,1,93,149
ZCTA5 92551,30815,29081,11420,5940,231,1778,104,92,883,36,68,345,250,178,27,41,62,48,9534,1734
ZCTA5 92553,73722,69663,29407,12025,708,3582,224,186,1473,132,188,439,940,501,35,71,265,130,23440,4059
ZCTA5 92555,39076,36819,16435,7906,325,3851,279,334,1980,67,199,370,622,195,37,34,57,67,8107,2257
ZCTA5 92557,50320,47285,24089,9034,465,2667,187,310,1110,127,225,240,468,249,40,74,76,59,10781,3035
ZCTA5 92561,1661,1620,1450,13,99,15,1,4,7,0,3,0,0,0,0,0,0,0,43,41
ZCTA5 92562,62079,58601,46093,2691,401,4175,220,361,2062,224,421,356,531,221,45,110,47,19,5020,3478
ZCTA5 92563,53892,50234,34467,3717,418,6983,326,483,3801,211,504,863,795,238,48,88,48,54,4411,3658
ZCTA5 92567,9459,9025,5840,133,144,96,10,5,52,11,3,3,12,22,4,12,6,0,2790,434
ZCTA5 92570,53697,51470,27078,4194,526,889,43,76,353,47,91,164,115,109,7,24,60,18,18674,2227
ZCTA5 92571,52516,49855,21396,6678,413,2151,174,167,1018,43,41,313,395,216,21,25,87,83,19001,2661
ZCTA5 92582,15649,14729,8526,1298,235,777,59,43,432,17,12,49,165,46,9,14,8,15,3847,920
ZCTA5 92583,30236,28609,17817,1646,995,597,39,51,285,28,24,38,132,79,11,23,14,31,7475,1627
ZCTA5 92584,43400,40853,29935,2538,300,3080,88,181,1813,131,94,314,459,198,33,69,59,37,4802,2547
ZCTA5 92585,17797,16896,11091,862,160,758,40,60,433,43,24,64,94,75,10,8,16,41,3950,901
ZCTA5 92586,19815,19167,15873,992,173,600,33,26,289,63,24,76,89,58,11,23,8,16,1471,648
ZCTA5 92587,16675,16003,13748,299,153,289,18,51,86,28,28,37,41,56,11,9,7,29,1458,672
ZCTA5 92590,3660,3501,2692,55,24,196,5,23,110,14,17,3,24,2,0,0,0,2,532,159
ZCTA5 92591,38272,36218,27472,1661,334,3378,240,292,1822,139,375,156,354,134,22,80,20,12,3239,2054
ZCTA5 92592,72492,68140,52123,2687,1124,7076,261,589,3941,295,597,487,906,264,56,107,61,40,4866,4352
ZCTA5 92595,29851,28250,21051,1018,344,1441,48,70,797,72,87,180,187,61,13,26,10,12,4335,1601
ZCTA5 92596,23172,21679,15101,1457,215,2424,104,107,1558,80,74,209,292,126,29,44,39,14,2356,1493
ZCTA5 92602,22871,21543,9735,449,21,10674,1329,3034,764,477,2989,1226,855,47,14,28,3,2,617,1328
ZCTA5 92603,20184,19191,11650,149,12,7085,724,2810,315,534,1632,586,484,15,4,5,4,2,280,993
ZCTA5 92604,26853,25592,15787,435,47,8482,1263,2535,723,691,1547,1056,667,53,16,8,28,1,788,1261
ZCTA5 92606,21495,20225,9131,470,44,9861,1348,3245,706,989,1730,1167,676,33,7,9,3,14,686,1270
ZCTA5 92610,11248,10595,7822,191,39,2200,448,515,475,150,223,235,154,16,10,5,0,1,327,653
ZCTA5 92612,27522,26030,14991,537,52,9609,1397,3352,766,706,2075,611,702,42,11,5,11,15,799,1492
ZCTA5 92614,24748,23147,13176,476,46,8747,1156,2528,664,1053,1827,887,632,39,10,13,10,6,663,1601
ZCTA5 92617,14044,13212,5969,248,31,6201,637,2775,624,286,849,488,542,13,2,5,0,6,750,832
ZCTA5 92618,16366,15512,8599,308,47,6109,863,1743,530,807,1243,477,446,40,6,7,14,13,409,854
ZCTA5 92620,38486,36396,18286,650,60,16458,1976,5359,1107,933,4561,1390,1132,52,5,14,12,21,890,2090
ZCTA5 92624,7248,6983,6075,52,58,209,22,42,34,43,12,30,26,8,5,0,1,2,581,265
ZCTA5 92625,12478,12201,11432,48,21,596,78,158,56,101,76,74,53,14,4,3,7,0,90,277
ZCTA5 92626,49341,46877,33740,964,296,6433,481,784,1247,913,585,1887,536,286,72,21,39,154,5158,2464
ZCTA5 92627,61510,58803,42334,681,391,2266,138,326,580,418,148,369,287,245,72,21,47,105,12886,2707
ZCTA5 92629,25756,24964,22331,240,168,842,82,201,186,143,66,66,98,29,14,7,3,5,1354,792
ZCTA5 92630,59182,56543,41196,1020,330,7237,1067,1050,1956,548,547,1303,766,163,47,38,36,42,6597,2639
ZCTA5 92637,16012,15810,13950,109,25,1624,68,511,272,184,504,31,54,10,5,4,0,1,92,202
ZCTA5 92646,55224,52856,44707,418,266,5945,272,1278,698,881,311,2033,472,178,60,34,54,30,1342,2368
ZCTA5 92647,57245,54279,38390,836,388,7377,262,919,872,924,627,3216,557,253,52,41,80,80,7035,2966
ZCTA5 92648,45317,43396,36333,335,201,4711,280,888,486,583,398,1668,408,119,51,18,25,25,1697,1921
ZCTA5 92649,32463,31081,26428,228,137,3084,156,634,425,570,275,689,335,85,20,12,36,17,1119,1382
ZCTA5 92651,23881,23200,21723,189,66,845,104,250,128,130,75,77,81,15,7,2,1,5,362,681
ZCTA5 92653,29291,27906,21252,404,106,3623,379,661,1040,308,381,488,366,57,9,18,4,26,2464,1385
ZCTA5 92655,8337,8069,2773,66,65,3970,15,90,88,40,89,3501,147,40,8,10,21,1,1155,268
ZCTA5 92656,49046,46274,35405,982,145,7202,1049,1172,1615,898,971,837,660,90,38,17,15,20,2450,2772
ZCTA5 92657,9741,9269,7394,45,10,1703,201,657,59,167,223,258,138,2,0,1,0,1,115,472
ZCTA5 92660,34797,33794,30251,276,82,2638,291,785,284,393,427,253,205,34,13,6,8,7,513,1003
ZCTA5 92661,3744,3660,3479,31,14,66,8,13,15,6,10,10,4,8,7,0,1,0,62,84
ZCTA5 92662,2756,2722,2652,11,10,35,4,7,16,3,4,0,1,0,0,0,0,0,14,34
ZCTA5 92663,21649,21025,19147,200,86,929,106,198,189,151,103,71,111,56,25,10,6,15,607,624
ZCTA5 92672,34464,33321,29518,229,263,960,135,153,227,168,88,81,108,64,35,6,7,16,2287,1143
ZCTA5 92673,29309,28151,25299,197,104,1379,148,268,323,152,180,131,177,26,10,3,5,8,1146,1158
ZCTA5 92675,34731,33519,26775,193,286,979,99,192,236,161,109,101,81,34,16,4,6,8,5252,1212
ZCTA5 92676,1945,1869,1736,3,16,69,10,11,9,17,1,9,12,2,1,1,0,0,43,76
ZCTA5 92677,63297,60490,50894,782,222,5470,490,1442,1132,780,573,520,533,87,31,9,17,30,3035,2807
ZCTA5 92678,494,476,441,5,6,4,0,0,2,2,0,0,0,0,0,0,0,0,20,18
ZCTA5 92679,32611,31287,27876,354,82,2226,307,420,547,265,268,194,225,47,20,3,9,15,702,1324
ZCTA5 92683,89747,86522,32090,850,397,42585,331,1929,1129,854,613,36049,1680,361,59,65,210,27,10239,3225
ZCTA5 92688,43792,41611,33351,852,166,4501,476,684,1577,397,374,511,482,99,48,27,9,15,2642,2181
ZCTA5 92691,47582,45396,37981,627,218,3854,336,604,1199,441,324,530,420,68,17,19,14,18,2648,2186
ZCTA5 92692,47222,45069,37565,613,163,4788,528,998,1105,528,444,638,547,86,30,19,13,24,1854,2153
ZCTA5 92694,21944,20706,17031,311,53,2664,392,502,604,167,406,345,248,27,11,1,2,13,620,1238
ZCTA5 92701,53908,51919,26567,781,599,1985,55,205,327,40,76,462,820,55,6,12,22,15,21932,1989
ZCTA5 92703,65445,63240,27148,973,627,9428,67,338,293,69,56,7862,743,202,20,3,114,65,24862,2205
ZCTA5 92704,88123,84865,36261,1300,969,14760,356,826,847,286,169,10885,1391,285,37,23,164,61,31290,3258
ZCTA5 92705,44706,43183,31442,627,312,3079,258,692,475,316,290,589,459,162,19,4,108,31,7561,1523
ZCTA5 92706,36457,35073,19194,552,337,2999,84,168,289,105,207,1878,268,122,17,4,66,35,11869,1384
ZCTA5 92707,59492,57397,27651,769,535,3964,362,314,505,177,114,1924,568,192,22,8,88,74,24286,2095
ZCTA5 92708,56004,53648,31422,541,252,18483,548,2368,846,1312,898,11465,1046,175,38,27,77,33,2775,2356
ZCTA5 92780,57741,55186,31326,1379,411,7965,1418,1100,1741,418,685,1706,897,249,27,21,60,141,13856,2555
ZCTA5 92782,23032,21756,12552,393,47,7704,808,2227,695,517,1514,1277,666,33,8,11,2,12,1027,1276
ZCTA5 92801,62068,59196,28924,2437,550,9882,923,642,2996,225,1696,2286,1114,304,29,38,152,85,17099,2872
ZCTA5 92802,42709,40989,20727,1166,336,5772,341,426,1190,188,496,2613,518,254,27,23,130,74,12734,1720
ZCTA5 92804,85914,82056,40012,2786,719,18483,989,1187,4340,515,2202,7421,1829,770,74,91,360,245,19286,3858
ZCTA5 92805,70401,67497,36024,1212,667,5058,266,465,1428,238,568,1493,600,205,60,17,109,19,24331,2904
ZCTA5 92806,37173,35554,20272,981,302,4438,289,452,1105,225,329,1445,593,156,28,16,71,41,9405,1619
ZCTA5 92807,36171,34523,25576,737,196,5538,1045,852,854,422,741,1012,612,74,11,10,34,19,2402,1648
ZCTA5 92808,20039,19082,13641,377,64,4279,765,811,665,334,658,557,489,19,6,4,3,6,702,957
ZCTA5 92821,35533,33963,24172,495,176,5945,682,1087,908,399,2135,270,464,65,21,10,10,24,3110,1570
ZCTA5 92823,3613,3457,2093,45,14,1180,111,282,114,24,458,102,89,4,1,0,1,2,121,156
ZCTA5 92831,34204,32408,19864,1036,225,5549,905,1148,829,416,1265,452,534,94,26,11,29,28,5640,1796
ZCTA5 92832,24752,23588,14181,612,202,2341,161,274,430,119,689,383,285,63,14,3,29,17,6189,1164
ZCTA5 92833,51767,49875,22399,1041,330,17820,904,1552,1577,438,11643,810,896,119,27,13,69,10,8166,1892
ZCTA5 92835,24010,23092,16119,432,83,5005,522,1088,527,284,1926,299,359,43,8,13,5,17,1410,918
ZCTA5 92840,54083,52045,22911,778,386,16514,205,597,1251,235,1480,11766,980,398,48,42,236,72,11058,2038
ZCTA5 92841,32845,31609,13053,503,191,13072,120,466,794,177,1673,9274,568,199,28,16,125,30,4591,1236
ZCTA5 92843,45214,43773,14336,462,247,18695,101,536,562,107,415,16051,923,315,27,30,158,100,9718,1441
ZCTA5 92844,24307,23603,5900,284,124,14107,213,378,266,105,1941,10358,846,142,13,18,98,13,3046,704
ZCTA5 92845,16333,15557,12743,169,69,1852,48,252,325,292,310,472,153,79,25,28,17,9,645,776
ZCTA5 92860,27198,26329,20742,1893,248,885,87,116,267,64,98,129,124,59,28,12,14,5,2502,869
ZCTA5 92861,5781,5612,4524,42,34,849,146,254,53,133,115,105,43,1,0,0,1,0,162,169
ZCTA5 92865,19704,18893,12513,352,153,2215,217,333,560,196,204,435,270,39,10,12,9,8,3621,811
ZCTA5 92866,14885,14319,10576,206,114,764,33,108,211,85,41,200,86,39,15,3,7,14,2620,566
ZCTA5 92867,44515,42698,30970,516,326,4790,651,954,613,427,508,1148,489,102,22,18,25,37,5994,1817
ZCTA5 92868,25404,24359,15363,762,228,3401,239,265,757,98,615,1098,329,117,26,22,44,25,4488,1045
ZCTA5 92869,37184,35845,25143,416,224,4511,330,605,802,315,477,1593,389,68,26,8,20,14,5483,1339
ZCTA5 92870,52033,49971,32524,942,399,7712,937,1515,1607,523,1032,1355,743,76,23,14,17,22,8318,2062
ZCTA5 92879,46745,44229,24677,3388,462,4427,590,304,1667,106,335,809,616,164,29,63,41,31,11111,2516
ZCTA5 92880,58763,55756,27955,4909,348,12454,1439,3514,3351,181,1048,1407,1514,219,23,31,70,95,9871,3007
ZCTA5 92881,30991,29453,20499,1831,196,3137,595,325,746,101,495,365,510,116,31,26,32,27,3674,1538
ZCTA5 92882,67917,64659,40144,2755,548,5965,1042,629,1698,192,702,856,846,234,39,34,84,77,15013,3258
ZCTA5 92883,29301,27592,19351,1916,156,3035,284,375,864,111,655,373,373,88,21,25,23,19,3046,1709
ZCTA5 92886,46564,44831,35555,594,203,6645,868,1612,748,464,1564,789,600,53,25,12,10,6,1781,1733
ZCTA5 92887,20006,19092,14665,271,44,3514,564,795,542,269,433,478,433,35,9,5,1,20,563,914
ZCTA5 93001,32990,31255,24227,470,467,622,68,100,169,63,76,47,99,56,22,5,14,15,5413,1735
ZCTA5 93003,50474,47842,39542,854,549,2011,231,332,536,206,283,157,266,123,46,24,19,34,4763,2632
ZCTA5 93004,29149,27685,22201,473,348,1123,182,171,250,144,99,85,192,38,19,7,6,6,3502,1464
ZCTA5 93010,42901,40876,32328,927,343,3273,355,523,1217,516,251,174,237,82,13,25,24,20,3923,2025
ZCTA5 93012,34617,33075,26581,542,146,4012,515,701,1351,425,418,293,309,57,16,23,5,13,1737,1542
ZCTA5 93013,16091,15504,11967,128,158,377,42,47,57,124,41,25,41,16,9,2,1,4,2858,587
ZCTA5 93015,17334,16412,9996,88,229,168,22,23,56,20,15,7,25,14,5,0,0,9,5917,922
ZCTA5 93021,36422,34735,27398,545,275,2419,536,445,477,225,196,269,271,51,25,7,6,13,4047,1687
ZCTA5 93022,6106,5888,5029,20,87,76,4,12,35,16,1,3,5,4,0,3,0,1,672,218
ZCTA5 93023,20589,19958,17754,112,179,354,34,55,86,62,64,13,40,7,0,2,2,3,1552,631
ZCTA5 93030,59372,56642,27993,1931,927,4181,222,221,2619,256,166,485,212,202,28,64,93,17,21408,2730
ZCTA5 93033,82728,79314,35487,1850,1380,6201,112,109,5283,191,58,293,155,300,19,62,176,43,34096,3414
ZCTA5 93035,27732,26309,18161,896,250,1798,94,128,1022,195,85,128,146,75,21,25,23,6,5129,1423
ZCTA5 93036,41691,39567,21482,1222,671,2600,172,213,1339,224,172,305,175,113,22,32,43,16,13479,2124
ZCTA5 93040,2031,1926,1043,19,38,15,0,3,12,0,0,0,0,0,0,0,0,0,811,105
ZCTA5 93041,23641,22180,13760,1246,308,1382,47,69,940,137,35,63,91,142,42,39,36,25,5342,1461
ZCTA5 93042,56,56,44,5,0,2,0,0,2,0,0,0,0,1,0,0,1,0,4,0
ZCTA5 93043,333,319,213,32,3,11,1,0,0,3,0,1,6,0,0,0,0,0,60,14
ZCTA5 93060,32811,31582,20987,176,505,249,35,43,70,39,22,13,27,25,10,0,0,15,9640,1229
ZCTA5 93063,54366,51975,42170,730,313,5247,1507,610,1315,311,449,536,519,62,29,17,7,9,3453,2391
ZCTA5 93064,40,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
ZCTA5 93065,72508,69040,53726,1047,459,6379,1874,921,1409,363,436,714,662,117,38,26,8,45,7312,3468
ZCTA5 93066,3102,3018,2437,22,21,85,9,26,10,15,19,2,4,9,3,1,1,4,444,84
ZCTA5 93067,895,862,795,2,6,24,4,7,1,3,3,0,6,6,0,5,0,1,29,33
ZCTA5 93101,31683,30256,22099,563,352,984,92,303,202,147,84,54,102,50,19,8,12,11,6208,1427
ZCTA5 93103,20249,19510,14116,380,307,455,48,102,98,91,53,23,40,19,8,2,1,8,4233,739
ZCTA5 93105,24815,24028,20998,231,150,832,85,230,164,146,63,51,93,39,13,6,14,6,1778,787
ZCTA5 93108,11112,10847,10254,62,45,285,22,74,39,49,37,15,49,6,1,1,0,4,195,265
ZCTA5 93109,10858,10436,9270,126,70,542,57,190,50,88,97,15,45,24,15,1,2,6,404,422
ZCTA5 93110,16829,16200,13123,335,137,829,113,218,152,93,82,74,97,26,6,2,5,13,1750,629
ZCTA5 93111,17370,16733,13755,173,132,1053,134,334,175,118,93,94,105,19,12,1,0,6,1601,637
ZCTA5 93117,53217,50435,35736,1045,385,6043,666,2080,683,465,688,712,749,71,24,14,14,19,7155,2782
ZCTA5 93201,1348,1313,539,24,12,10,0,0,8,1,1,0,0,0,0,0,0,0,728,35
ZCTA5 93202,4143,3896,2013,104,63,85,13,0,56,5,1,1,9,13,10,0,0,3,1618,247
ZCTA5 93203,20938,20050,11111,203,258,184,51,12,92,0,2,1,26,6,4,0,2,0,8288,888
ZCTA5 93204,15529,15179,6067,1625,186,108,24,11,31,6,4,5,27,6,0,0,1,5,7187,350
ZCTA5 93205,2113,2026,1900,4,56,13,2,1,6,1,0,2,1,3,1,1,1,0,50,87
ZCTA5 93206,2300,2241,887,43,19,19,0,1,2,0,0,1,15,0,0,0,0,0,1273,59
ZCTA5 93207,263,259,251,0,4,4,0,0,0,0,1,0,3,0,0,0,0,0,0,4
ZCTA5 93208,104,102,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2
ZCTA5 93210,19504,18879,11169,1858,241,461,55,90,159,43,14,13,87,42,17,1,16,8,5108,625
ZCTA5 93212,26079,25403,9473,3773,368,213,31,38,89,6,5,6,38,17,4,5,3,5,11559,676
ZCTA5 93215,55659,53617,20291,4239,523,6835,347,36,6331,22,28,7,64,30,8,9,1,12,21699,2042
ZCTA5 93218,994,962,496,4,26,28,1,4,22,0,0,1,0,0,0,0,0,0,408,32
ZCTA5 93219,10194,9783,3781,90,49,576,18,4,546,5,2,0,1,0,0,0,0,0,5287,411
ZCTA5 93220,211,209,94,0,1,21,11,1,7,0,0,0,2,0,0,0,0,0,93,2
ZCTA5 93221,14945,14417,10827,92,247,234,44,47,62,20,13,6,42,17,2,0,0,15,3000,528
ZCTA5 93222,2099,2029,1878,26,24,37,3,5,9,9,1,1,9,0,0,0,0,0,64,70
ZCTA5 93223,10604,10153,5299,60,213,72,2,5,23,1,1,1,39,5,2,3,0,0,4504,451
ZCTA5 93224,451,438,401,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,25,13
ZCTA5 93225,5077,4878,4431,29,61,66,3,5,19,13,15,2,9,5,2,0,0,3,286,199
ZCTA5 93226,282,269,238,4,6,4,0,4,0,0,0,0,0,0,0,0,0,0,17,13
ZCTA5 93230,65264,61828,41063,3022,900,2520,243,225,1408,145,45,71,383,65,20,16,8,21,14258,3436
ZCTA5 93234,6987,6677,2354,66,77,39,32,0,0,0,0,0,7,6,0,4,2,0,4135,310
ZCTA5 93235,4559,4413,2041,19,80,29,7,3,3,2,2,0,12,1,0,0,1,0,2243,146
ZCTA5 93238,1490,1409,1344,1,20,9,0,0,5,3,1,0,0,0,0,0,0,0,35,81
ZCTA5 93239,1688,1616,559,6,10,1,0,0,1,0,0,0,0,3,0,0,0,3,1037,72
ZCTA5 93240,6056,5763,5398,19,163,31,5,11,6,4,2,2,1,9,7,1,0,1,143,293
ZCTA5 93241,17489,16736,7746,133,307,78,12,5,53,0,2,1,5,9,1,1,0,7,8463,753
ZCTA5 93242,3468,3358,2200,9,26,39,10,0,12,6,2,0,9,1,1,0,0,0,1083,110
ZCTA5 93243,1699,1594,1334,20,51,22,5,4,3,2,6,0,2,0,0,0,0,0,167,105
ZCTA5 93244,534,505,461,0,10,3,0,0,1,0,2,0,0,7,0,5,0,2,24,29
ZCTA5 93245,37412,34779,22194,2452,1001,2655,90,100,2079,116,59,40,171,165,35,70,26,34,6312,2633
ZCTA5 93247,17423,16786,10155,107,191,358,33,26,14,37,3,3,242,22,13,0,7,2,5953,637
ZCTA5 93249,2739,2694,241,5,1,17,0,0,6,0,0,0,11,1,0,1,0,0,2429,45
ZCTA5 93250,13522,13036,5837,240,178,130,26,24,57,8,0,1,14,6,1,0,4,1,6645,486
ZCTA5 93251,270,263,191,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7
ZCTA5 93252,4176,4100,3521,255,36,41,4,3,21,5,0,0,8,2,0,0,1,1,245,76
ZCTA5 93254,811,775,626,7,16,8,0,1,5,1,0,1,0,1,0,0,0,1,117,36
ZCTA5 93255,614,567,537,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47
ZCTA5 93256,5753,5551,2498,171,56,31,19,0,12,0,0,0,0,0,0,0,0,0,2795,202
ZCTA5 93257,75004,71662,44607,824,2293,2971,323,144,1361,41,43,42,1017,141,23,5,22,91,20826,3342
ZCTA5 93258,2046,2007,1404,1,5,335,0,1,331,0,0,0,3,0,0,0,0,0,262,39
ZCTA5 93260,200,194,184,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
